Borough,Own Outright,Buying with mortgage
Barking and Dagenham,18.5,27.3
Barnet,34.3,24.5
Bexley,41.3,34.4
Brent,22.6,24.9
Bromley,41.1,33.4
Camden,20,15.3
Croydon,31.5,34.9
Ealing,21.8,33.6
Enfield,30.2,35
Greenwich,20,26.3
Hackney,11.5,20
Hammersmith and Fulham,21.5,21.6
Haringey,20.2,23.9
Harrow,34.3,33.5
Havering,37.8,32.8
Hillingdon,23.5,35.4
Hounslow,25.8,26.9
Islington,15.3,21.5
Kensington and Chelsea,27.1,13.3
Kingston upon Thames,30.4,37.8
Lambeth,11.1,26.6
Lewisham,17,32.9
Merton,24,33.4
Newham,10.8,17.9
Redbridge,31,35.2
Richmond upon Thames,32.4,37.1
Southwark,10.2,26.1
Sutton,27.1,41.5
Tower Hamlets,7.2,20
Waltham Forest,22.7,28.8
Wandsworth,18.8,32.7
Westminster,18.9,12.1
Inner London,15.6,22.5
Outer London,29.3,32.3
London,23.7,28.2
