Borough,Own Outright,Buying with mortgage
Barking and Dagenham,19.9,31.6
Barnet,32.2,29.3
Bexley,34.5,39.4
Brent,16.9,25.5
Bromley,32.4,39.6
Camden,18.5,17
Croydon,26.5,39.3
Ealing,24.3,28.1
Enfield,24.4,33.5
Greenwich,16.3,32.7
Hackney,11,19.7
Hammersmith and Fulham,21,19.5
Haringey,21.5,22.6
Harrow,30.9,29.6
Havering,40.6,33.8
Hillingdon,26.9,35.1
Hounslow,24.3,29.2
Islington,15.2,15.7
Kensington and Chelsea,26.7,14.4
Kingston upon Thames,30.9,30.3
Lambeth,17.1,24.7
Lewisham,16.7,32.5
Merton,31.4,31
Newham,12.2,22.6
Redbridge,29.7,32.6
Richmond upon Thames,30.6,42.7
Southwark,13.6,23
Sutton,30.5,39.1
Tower Hamlets,7.6,16.7
Waltham Forest,20,31.1
Wandsworth,20.6,32.3
Westminster,18.8,12.3
Inner London,16.5,21.5
Outer London,27.5,33.4
London,22.9,28.4
