Borough,Own Outright,Buying with mortgage
Barking and Dagenham,17.7,24.7
Barnet,28.6,30.4
Bexley,38.5,35.2
Brent,18.8,25.5
Bromley,31.8,39.4
Camden,19.8,15.6
Croydon,25.8,36.9
Ealing,22.7,31.9
Enfield,31,31
Greenwich,18.1,27.3
Hackney,11.1,20.1
Hammersmith and Fulham,20.7,19.5
Haringey,20.8,28.8
Harrow,27.7,37
Havering,41,33.3
Hillingdon,26.2,37.4
Hounslow,23.5,30.1
Islington,12.9,21.2
Kensington and Chelsea,26.6,12.8
Kingston upon Thames,29,29.8
Lambeth,11.5,27.8
Lewisham,15.8,31.3
Merton,23.6,37.1
Newham,12.2,19.7
Redbridge,29.3,33.7
Richmond upon Thames,32.9,32.2
Southwark,10.8,19.5
Sutton,24.2,43.7
Tower Hamlets,7.6,16.4
Waltham Forest,21.9,30.9
Wandsworth,17.2,31.6
Westminster,15.9,14.3
Inner London,15.2,22.1
Outer London,27,33.1
London,22.1,28.5
