Borough,Own Outright,Buying with mortgage
Barking and Dagenham,18,28.2
Barnet,29.2,29.3
Bexley,39.4,38.8
Brent,19.1,26.2
Bromley,33.6,41.3
Camden,20.4,13.9
Croydon,29,37.3
Ealing,23.3,30.3
Enfield,30.5,31.2
Greenwich,22,26.1
Hackney,14.8,22.3
Hammersmith and Fulham,21.9,21
Haringey,22.8,24.1
Harrow,30.2,31.4
Havering,42.5,33.8
Hillingdon,31.5,30.7
Hounslow,25.2,33
Islington,14.7,16.6
Kensington and Chelsea,25.9,14
Kingston upon Thames,28.1,31
Lambeth,10.9,25
Lewisham,17.8,33.1
Merton,26.4,39.1
Newham,12,17.8
Redbridge,29.1,37.9
Richmond upon Thames,30.8,37.7
Southwark,13.5,21.8
Sutton,31.1,42
Tower Hamlets,8.2,16.1
Waltham Forest,18.6,36.4
Wandsworth,19.3,32.9
Westminster,18.1,12.8
Inner London,16.5,21.5
Outer London,28.5,33.7
London,23.5,28.7
