Borough,Own Outright,Buying with mortgage
Barking and Dagenham,19,33.4
Barnet,28.3,33.3
Bexley,40.8,38.7
Brent,22.4,29.6
Bromley,32.9,42.5
Camden,17.9,16.8
Croydon,27.5,34.9
Ealing,25,27.9
Enfield,25.5,36.9
Greenwich,19,29.1
Hackney,13.8,22.7
Hammersmith and Fulham,14.6,22.3
Haringey,18.8,27.6
Harrow,26.6,39.2
Havering,35.9,40.7
Hillingdon,21.5,43.5
Hounslow,19.4,34
Islington,12.7,27.9
Kensington and Chelsea,24,16
Kingston upon Thames,27.7,41.1
Lambeth,13.2,26.7
Lewisham,16.3,33.1
Merton,23.9,39.7
Newham,14.6,20
Redbridge,29.9,40.4
Richmond upon Thames,34.4,35.9
Southwark,10.8,24.5
Sutton,28.8,42.7
Tower Hamlets,9.5,20.9
Waltham Forest,18.1,31.2
Wandsworth,14.7,32.7
Westminster,18.7,16.9
Inner London,15.1,24.1
Outer London,26.8,36.3
London,22,31.3
