Borough,Own Outright,Buying with mortgage
Barking and Dagenham,17.5,29.8
Barnet,32.4,29.1
Bexley,37.5,38.2
Brent,20,24
Bromley,34.9,38.7
Camden,22.6,16.5
Croydon,24.1,39.6
Ealing,30.2,29.5
Enfield,27.8,28.9
Greenwich,15.7,33.9
Hackney,12.9,17.5
Hammersmith and Fulham,24.4,17.9
Haringey,20.4,22.2
Harrow,32.4,30
Havering,37.4,38.5
Hillingdon,25.7,33.7
Hounslow,25.4,29.6
Islington,16.1,17.4
Kensington and Chelsea,27.9,13
Kingston upon Thames,33,31.1
Lambeth,20.1,26.1
Lewisham,16.3,34.7
Merton,29.4,33.9
Newham,15.9,21.8
Redbridge,28.1,33.3
Richmond upon Thames,36.1,35.5
Southwark,12.8,24.4
Sutton,36.3,38.2
Tower Hamlets,10.6,15
Waltham Forest,18.9,35.9
Wandsworth,21.5,33
Westminster,17.4,12.8
Inner London,17.9,21.6
Outer London,28.5,33.3
London,24.1,28.3
