Borough,Own Outright,Buying with mortgage
Barking and Dagenham,19.2,22.6
Barnet,32.4,30.2
Bexley,37.5,32.6
Brent,27.7,21.9
Bromley,35.4,37.8
Camden,21.8,19.9
Croydon,27.2,35.8
Ealing,27.6,28.5
Enfield,32.7,33.7
Greenwich,20.6,27.1
Hackney,12.5,23.6
Hammersmith and Fulham,23.4,19.8
Haringey,23.1,23.8
Harrow,37.2,29.7
Havering,39.8,30.3
Hillingdon,36.1,32.5
Hounslow,25.3,27.3
Islington,22.6,18.3
Kensington and Chelsea,28.9,12
Kingston upon Thames,35.2,33.7
Lambeth,14.3,28.3
Lewisham,19,32.7
Merton,30.1,29.9
Newham,15.7,24.5
Redbridge,38,29
Richmond upon Thames,40,35.2
Southwark,11.5,26.7
Sutton,36.8,35.3
Tower Hamlets,10.1,20.1
Waltham Forest,27.1,38.5
Wandsworth,18,36.8
Westminster,28,16.7
Inner London,18.3,24.4
Outer London,31.8,31.3
London,26.2,28.4
