Borough,Own Outright,Buying with mortgage
Barking and Dagenham,20.1,31.2
Barnet,30.4,30.4
Bexley,40.7,36.1
Brent,17.5,25.1
Bromley,30.2,41.8
Camden,20.5,15.7
Croydon,28.2,35.9
Ealing,23.4,31.9
Enfield,24.7,31.3
Greenwich,18,30.1
Hackney,11.3,21.3
Hammersmith and Fulham,19.7,22
Haringey,18.6,23
Harrow,34.1,30.6
Havering,37.4,36.1
Hillingdon,24.7,33.9
Hounslow,23.7,27.9
Islington,13,17.2
Kensington and Chelsea,23.3,14.7
Kingston upon Thames,30.3,36.4
Lambeth,13.8,26.9
Lewisham,17.4,32.4
Merton,28.2,31
Newham,11,20.5
Redbridge,32.8,33.7
Richmond upon Thames,33.4,39.7
Southwark,10.1,24.9
Sutton,29.9,42.5
Tower Hamlets,8.8,18.7
Waltham Forest,25.5,34.6
Wandsworth,18.6,33.7
Westminster,19.6,11.3
Inner London,15.5,22.3
Outer London,28,33.6
London,22.8,28.9
