Code,Area,Period,Mean_Price,Median_Price
E12000007,London,Year ending Mar 1996,97991.339065,73000.0
E12000008,South East,Year ending Mar 1996,82491.894908,65250.0
E12000009,South West,Year ending Mar 1996,65662.475938,55000.0
E92000001,England,Year ending Mar 1996,68755.519148,55000.0
W92000004,Wales,Year ending Mar 1996,50242.305075,44000.0
K04000001,England And Wales,Year ending Mar 1996,67961.563192,54950.0
E09000001,City of London,Year ending Jun 1996,139566.27551,112375.0
E09000002,Barking and Dagenham,Year ending Jun 1996,50971.597178,50000.0
E09000003,Barnet,Year ending Jun 1996,110356.49962,85000.0
E09000004,Bexley,Year ending Jun 1996,66892.24318,63125.0
E09000005,Brent,Year ending Jun 1996,79454.904803,70000.0
E09000006,Bromley,Year ending Jun 1996,94768.043276,77000.0
E09000007,Camden,Year ending Jun 1996,155522.16216,117000.0
E09000008,Croydon,Year ending Jun 1996,73118.748604,61000.0
E09000009,Ealing,Year ending Jun 1996,90963.390137,76000.0
E09000010,Enfield,Year ending Jun 1996,79325.884927,67000.0
E09000011,Greenwich,Year ending Jun 1996,75722.371118,62000.0
E09000012,Hackney,Year ending Jun 1996,73166.059572,64000.0
E09000013,Hammersmith and Fulham,Year ending Jun 1996,145180.75278,115000.0
E09000014,Haringey,Year ending Jun 1996,95652.788415,68000.0
E09000015,Harrow,Year ending Jun 1996,91975.451835,80000.0
E09000016,Havering,Year ending Jun 1996,76472.660731,67000.0
E09000017,Hillingdon,Year ending Jun 1996,82661.971546,71000.0
E09000018,Hounslow,Year ending Jun 1996,90567.258048,73000.0
E09000019,Islington,Year ending Jun 1996,119666.82496,98500.0
E09000020,Kensington and Chelsea,Year ending Jun 1996,276854.14127,180000.0
E09000021,Kingston upon Thames,Year ending Jun 1996,102869.63438,84500.0
E09000022,Lambeth,Year ending Jun 1996,86692.730911,69500.0
E09000023,Lewisham,Year ending Jun 1996,61850.699751,56500.0
E09000024,Merton,Year ending Jun 1996,98929.903101,75000.0
E09000025,Newham,Year ending Jun 1996,47454.431728,47000.0
E09000026,Redbridge,Year ending Jun 1996,76297.049652,68500.0
E09000027,Richmond upon Thames,Year ending Jun 1996,142240.15566,111500.0
E09000028,Southwark,Year ending Jun 1996,84623.121685,71000.0
E09000029,Sutton,Year ending Jun 1996,76121.587889,66500.0
E09000030,Tower Hamlets,Year ending Jun 1996,79620.329922,67000.0
E09000031,Waltham Forest,Year ending Jun 1996,58918.369101,55000.0
E09000032,Wandsworth,Year ending Jun 1996,113633.90419,89500.0
E09000033,Westminster,Year ending Jun 1996,181127.14858,128000.0
E12000001,North East,Year ending Jun 1996,49287.072554,42950.0
E12000002,North West,Year ending Jun 1996,52823.78162,45000.0
E12000003,Yorkshire And The Humber,Year ending Jun 1996,53182.114981,45500.0
E12000004,East Midlands,Year ending Jun 1996,54625.756502,46000.0
E12000005,West Midlands,Year ending Jun 1996,59330.819155,49950.0
E12000006,East of England,Year ending Jun 1996,69246.826923,57000.0
E12000007,London,Year ending Jun 1996,99642.094277,74000.0
E12000008,South East,Year ending Jun 1996,83350.592944,66000.0
E12000009,South West,Year ending Jun 1996,66019.650241,55500.0
E92000001,England,Year ending Jun 1996,69446.847278,55384.5
W92000004,Wales,Year ending Jun 1996,50639.50134,44500.0
K04000001,England And Wales,Year ending Jun 1996,68634.328931,55000.0
E09000001,City of London,Year ending Sep 1996,131873.24473,121500.0
E09000002,Barking and Dagenham,Year ending Sep 1996,51680.48483,49995.0
E09000003,Barnet,Year ending Sep 1996,110408.22472,85500.0
E09000004,Bexley,Year ending Sep 1996,67534.701918,63500.0
E09000005,Brent,Year ending Sep 1996,81029.72808,71000.0
E09000006,Bromley,Year ending Sep 1996,96801.91508,79500.0
E09000007,Camden,Year ending Sep 1996,164691.84182,121000.0
E09000008,Croydon,Year ending Sep 1996,74630.153092,63000.0
E09000009,Ealing,Year ending Sep 1996,93988.660442,78000.0
E09000010,Enfield,Year ending Sep 1996,80648.898495,68000.0
E09000011,Greenwich,Year ending Sep 1996,75908.326335,64000.0
E09000012,Hackney,Year ending Sep 1996,74597.0845,65000.0
E09000013,Hammersmith and Fulham,Year ending Sep 1996,149130.16595,120000.0
E09000014,Haringey,Year ending Sep 1996,97230.917978,70000.0
E09000015,Harrow,Year ending Sep 1996,92950.704156,80500.0
E09000016,Havering,Year ending Sep 1996,76968.494198,67000.0
E09000017,Hillingdon,Year ending Sep 1996,82984.31901,71500.0
E09000018,Hounslow,Year ending Sep 1996,89900.624619,72825.0
E09000019,Islington,Year ending Sep 1996,122679.60316,99800.0
E09000020,Kensington and Chelsea,Year ending Sep 1996,294487.84504,190000.0
E09000021,Kingston upon Thames,Year ending Sep 1996,105212.71991,85247.5
E09000022,Lambeth,Year ending Sep 1996,90558.925926,72000.0
E09000023,Lewisham,Year ending Sep 1996,62218.625264,57000.0
E09000024,Merton,Year ending Sep 1996,101354.77573,78000.0
E09000025,Newham,Year ending Sep 1996,48250.331663,48000.0
E09000026,Redbridge,Year ending Sep 1996,78290.128085,69500.0
E09000027,Richmond upon Thames,Year ending Sep 1996,149004.38601,116500.0
E09000028,Southwark,Year ending Sep 1996,85624.994462,72000.0
E09000029,Sutton,Year ending Sep 1996,77042.960419,67500.0
E09000030,Tower Hamlets,Year ending Sep 1996,84702.912758,71500.0
E09000031,Waltham Forest,Year ending Sep 1996,59700.752299,55000.0
E09000032,Wandsworth,Year ending Sep 1996,118344.21373,92500.0
E09000033,Westminster,Year ending Sep 1996,184256.64541,130000.0
E12000001,North East,Year ending Sep 1996,50089.503382,43500.0
E12000002,North West,Year ending Sep 1996,53568.747287,45725.0
E12000003,Yorkshire And The Humber,Year ending Sep 1996,53774.052725,46000.0
E12000004,East Midlands,Year ending Sep 1996,55394.004981,46500.0
E12000005,West Midlands,Year ending Sep 1996,60062.137559,50000.0
E12000006,East of England,Year ending Sep 1996,70302.453194,58000.0
E12000007,London,Year ending Sep 1996,102799.90118,75000.0
E12000008,South East,Year ending Sep 1996,84804.730398,67500.0
E12000009,South West,Year ending Sep 1996,67175.667957,56500.0
E92000001,England,Year ending Sep 1996,70877.111764,56500.0
W92000004,Wales,Year ending Sep 1996,51154.853791,45000.0
K04000001,England And Wales,Year ending Sep 1996,70025.143407,55995.0
E09000001,City of London,Year ending Dec 1996,136344.0,124250.0
E09000002,Barking and Dagenham,Year ending Dec 1996,51680.045935,49995.0
E09000003,Barnet,Year ending Dec 1996,111202.8385,87000.0
E09000004,Bexley,Year ending Dec 1996,69940.739905,65000.0
E09000005,Brent,Year ending Dec 1996,82824.486169,73000.0
E09000006,Bromley,Year ending Dec 1996,97597.395187,80000.0
E09000007,Camden,Year ending Dec 1996,168987.79718,127500.0
E09000008,Croydon,Year ending Dec 1996,75678.013253,64500.0
E09000009,Ealing,Year ending Dec 1996,97594.65119,80000.0
E09000010,Enfield,Year ending Dec 1996,82955.706445,69995.0
E09000011,Greenwich,Year ending Dec 1996,76050.636545,64000.0
E09000012,Hackney,Year ending Dec 1996,75652.571898,66000.0
E09000013,Hammersmith and Fulham,Year ending Dec 1996,150520.82343,122000.0
E09000014,Haringey,Year ending Dec 1996,102675.63538,71850.0
E09000015,Harrow,Year ending Dec 1996,94547.369222,82500.0
E09000016,Havering,Year ending Dec 1996,79624.875588,68500.0
E09000017,Hillingdon,Year ending Dec 1996,84196.881394,72500.0
E09000018,Hounslow,Year ending Dec 1996,92154.63696,73000.0
E09000019,Islington,Year ending Dec 1996,124792.01443,102250.0
E09000020,Kensington and Chelsea,Year ending Dec 1996,297757.2872,195000.0
