Borough,Own Outright,Buying with mortgage
Barking and Dagenham,18.8,22.9
Barnet,30.3,29.1
Bexley,35.6,35.9
Brent,26.7,21.4
Bromley,32,37.2
Camden,19.9,14.7
Croydon,22.7,32.6
Ealing,26.4,30.8
Enfield,26.3,31.4
Greenwich,21.2,32.6
Hackney,11.2,19.6
Hammersmith and Fulham,24.9,18.8
Haringey,26.1,18.8
Harrow,39.4,27.9
Havering,35.4,36.8
Hillingdon,25.7,30.5
Hounslow,26.6,26.8
Islington,19.6,14.6
Kensington and Chelsea,28.6,10
Kingston upon Thames,36.2,31
Lambeth,12.2,26.3
Lewisham,14.7,30.8
Merton,26.5,32
Newham,16.7,20.3
Redbridge,30.3,29.8
Richmond upon Thames,34.7,37.2
Southwark,11.6,22.7
Sutton,34,35.7
Tower Hamlets,12.8,16
Waltham Forest,25.4,31.8
Wandsworth,22.9,27.5
Westminster,21.2,12.7
Inner London,18.1,20
Outer London,28.8,31.2
London,24.3,26.4
