Year,Area,Number of Individuals,Mean £,Median £
2009,London,"3,840,000","39,800","23,400"
2009,South East,"4,430,000","32,600","21,600"
2009,South West,"2,690,000","25,700","19,000"
2009,,0,,
2009,England,"25,500,000","29,100","19,800"
2009,Wales,"1,400,000","23,000","18,000"
2009,Scotland,"2,630,000","26,000","19,400"
2009,Northern Ireland,"747,000","23,500","17,800"
2009,,0,,
2009,United Kingdom,"30,600,000","28,400","19,600"
,,,,
2010,City of London,"8,000","127,000","61,300"
2010,Barking and Dagenham,"69,000","22,500","19,400"
2010,Barnet,"176,000","38,800","24,100"
2010,Bexley,"114,000","27,400","22,600"
2010,Brent,"146,000","26,700","19,700"
2010,Bromley,"161,000","35,900","25,800"
2010,Camden,"101,000","67,100","29,400"
2010,Croydon,"173,000","29,000","22,000"
2010,Ealing,"166,000","30,700","20,800"
2010,Enfield,"135,000","29,000","20,900"
2010,Greenwich,"111,000","30,000","21,300"
2010,Hackney,"99,000","29,500","22,300"
2010,Hammersmith and Fulham,"96,000","52,000","27,100"
2010,Haringey,"123,000","32,900","21,500"
2010,Harrow,"125,000","31,100","22,300"
2010,Havering,"123,000","29,000","22,500"
2010,Hillingdon,"134,000","28,400","21,900"
2010,Hounslow,"136,000","30,800","21,600"
2010,Islington,"101,000","47,600","26,100"
2010,Kensington and Chelsea,"72,000","128,000","31,700"
2010,Kingston-upon-Thames,"88,000","35,500","24,800"
2010,Lambeth,"153,000","34,200","24,000"
2010,Lewisham,"121,000","29,300","23,200"
2010,Merton,"105,000","43,100","24,700"
2010,Newham,"123,000","21,700","17,400"
2010,Redbridge,"128,000","29,400","22,200"
2010,Richmond-upon-Thames,"101,000","56,300","30,600"
2010,Southwark,"136,000","35,400","23,800"
2010,Sutton,"103,000","29,100","22,300"
2010,Tower Hamlets,"107,000","37,400","24,000"
2010,Waltham Forest,"129,000","24,400","19,700"
2010,Wandsworth,"159,000","50,700","29,000"
2010,Westminster,"107,000","83,400","31,400"
2010,,,,
2010,North East,"1,190,000","22,900","18,000"
2010,North West,"3,340,000","24,200","18,400"
2010,Yorkshire and The Humber,"2,470,000","23,800","18,200"
2010,East Midlands,"2,220,000","24,400","18,800"
2010,West Midlands,"2,610,000","24,000","18,400"
2010,East of England,"2,980,000","28,900","20,500"
2010,London,"3,930,000","37,700","23,300"
2010,South East,"4,570,000","31,200","21,300"
2010,South West,"2,760,000","24,900","18,800"
2010,,,,
2010,England,"26,100,000","28,000","19,700"
2010,Wales,"1,440,000","22,500","17,900"
2010,Scotland,"2,720,000","25,200","19,200"
2010,Northern Ireland,"762,000","23,100","18,000"
2010,,,,
2010,United Kingdom,"31,300,000","27,400","19,500"
,,,,
2011,City of London,"8,000","117,000","51,600"
2011,Barking and Dagenham,"73,000","22,800","19,600"
2011,Barnet,"179,000","39,200","24,200"
2011,Bexley,"114,000","28,300","22,300"
2011,Brent,"149,000","27,400","20,200"
2011,Bromley,"168,000","36,400","25,100"
2011,Camden,"104,000","69,300","30,400"
2011,Croydon,"171,000","29,700","22,700"
2011,Ealing,"162,000","32,000","21,300"
2011,Enfield,"135,000","30,400","22,300"
2011,Greenwich,"117,000","31,000","21,800"
2011,Hackney,"101,000","31,200","23,300"
2011,Hammersmith and Fulham,"98,000","52,700","27,600"
2011,Haringey,"116,000","34,600","22,200"
2011,Harrow,"122,000","32,400","23,000"
2011,Havering,"125,000","30,400","22,700"
2011,Hillingdon,"139,000","30,000","23,500"
2011,Hounslow,"133,000","32,400","21,800"
2011,Islington,"105,000","47,200","28,100"
2011,Kensington and Chelsea,"70,000","137,000","37,200"
2011,Kingston-upon-Thames,"82,000","38,700","26,000"
2011,Lambeth,"148,000","35,700","24,600"
2011,Lewisham,"126,000","29,800","22,900"
2011,Merton,"106,000","43,700","25,200"
2011,Newham,"127,000","22,000","17,600"
2011,Redbridge,"127,000","30,900","22,900"
2011,Richmond-upon-Thames,"104,000","57,400","31,500"
2011,Southwark,"138,000","36,500","24,300"
2011,Sutton,"99,000","31,400","25,300"
2011,Tower Hamlets,"112,000","38,200","24,700"
2011,Waltham Forest,"123,000","25,300","20,300"
2011,Wandsworth,"161,000","53,400","29,400"
2011,Westminster,"104,000","88,200","32,400"
2011,,,,
2011,North East,"1,170,000","24,300","19,100"
2011,North West,"3,260,000","25,400","19,200"
2011,Yorkshire and The Humber,"2,390,000","24,900","19,000"
2011,East Midlands,"2,170,000","25,600","19,300"
2011,West Midlands,"2,560,000","25,400","19,400"
2011,East of England,"2,970,000","30,100","21,100"
2011,London,"3,950,000","39,100","23,800"
2011,South East,"4,490,000","32,900","22,300"
2011,South West,"2,700,000","26,100","19,600"
2011,,,,
2011,England,"25,700,000","29,400","20,500"
2011,Wales,"1,410,000","23,700","18,800"
2011,Scotland,"2,640,000","27,000","20,300"
2011,Northern Ireland,"746,000","24,200","19,100"
2011,,,,
2011,United Kingdom,"30,800,000","28,800","20,300"
,,,,
2012,City of London,"9,000","131,000","58,300"
2012,Barking and Dagenham,"74,000","23,700","20,100"
2012,Barnet,"172,000","41,000","25,800"
2012,Bexley,"115,000","28,600","23,100"
2012,Brent,"144,000","28,300","20,600"
2012,Bromley,"169,000","37,200","26,900"
2012,Camden,"105,000","71,200","31,600"
2012,Croydon,"174,000","30,700","23,900"
2012,Ealing,"163,000","32,600","22,700"
