Year,Area,Number of Individuals,Mean £,Median £
2019,Havering,"130,000","38,100","29,800"
2019,Hillingdon,"145,000","37,300","28,100"
2019,Hounslow,"136,000","41,700","27,500"
2019,Islington,"109,000","66,100","36,400"
2019,Kensington and Chelsea,"67,000","185,000","42,100"
2019,Kingston-upon-Thames,"84,000","50,500","33,500"
2019,Lambeth,"168,000","49,100","31,900"
2019,Lewisham,"139,000","41,100","30,100"
2019,Merton,"112,000","55,300","30,300"
2019,Newham,"158,000","31,700","24,600"
2019,Redbridge,"138,000","38,500","28,900"
2019,Richmond-upon-Thames,"104,000","77,400","38,900"
2019,Southwark,"152,000","53,400","33,500"
2019,Sutton,"102,000","40,200","30,200"
2019,Tower Hamlets,"140,000","50,100","32,700"
2019,Waltham Forest,"139,000","34,900","27,700"
2019,Wandsworth,"172,000","72,400","38,900"
2019,Westminster,"98,000","118,000","39,900"
2019,,,,
2019,North East,"1,140,000","30,000","23,800"
2019,North West,"3,310,000","32,100","24,600"
2019,Yorkshire and The Humber,"2,430,000","31,200","24,300"
2019,East Midlands,"2,230,000","32,100","24,700"
2019,West Midlands,"2,610,000","32,000","24,500"
2019,East of England,"3,090,000","38,000","27,100"
2019,London,"4,240,000","51,800","30,700"
2019,South East,"4,640,000","41,400","28,200"
2019,South West,"2,740,000","33,200","25,300"
2019,,,,
2019,England,"2,640,000","37,500","26,300"
2019,Wales,"1,360,000","30,000","24,100"
2019,Scotland,"2,570,000","33,300","25,700"
2019,Northern Ireland,"783,000","30,600","24,600"
2019,,,,
2019,United Kingdom,"3,150,000","36,700","26,000"
,,,,
2020,City of London,"10,000","142,000","56,700"
2020,Barking and Dagenham,"87,000","30,800","26,800"
2020,Barnet,"189,000","54,400","32,200"
2020,Bexley,"126,000","36,400","28,800"
2020,Brent,"152,000","40,400","27,200"
2020,Bromley,"177,000","49,300","33,800"
2020,Camden,"100,000","107,000","38,900"
2020,Croydon,"189,000","38,300","29,100"
2020,Ealing,"172,000","44,100","29,500"
2020,Enfield,"137,000","40,700","29,500"
2020,Greenwich,"132,000","46,400","30,600"
2020,Hackney,"109,000","49,400","32,800"
2020,Hammersmith and Fulham,"93,000","77,800","36,200"
2020,Haringey,"122,000","50,200","30,000"
2020,Harrow,"123,000","42,800","30,200"
2020,Havering,"136,000","38,000","29,000"
2020,Hillingdon,"142,000","38,200","28,400"
2020,Hounslow,"135,000","43,000","28,500"
2020,Islington,"107,000","70,100","35,600"
2020,Kensington and Chelsea,"69,000","198,000","43,300"
2020,Kingston-upon-Thames,"81,000","54,000","34,700"
2020,Lambeth,"167,000","51,900","32,800"
2020,Lewisham,"141,000","42,600","30,900"
2020,Merton,"112,000","58,500","32,600"
2020,Newham,"144,000","34,300","26,600"
2020,Redbridge,"139,000","40,300","30,400"
2020,Richmond-upon-Thames,"106,000","77,900","39,500"
2020,Southwark,"146,000","55,300","33,900"
2020,Sutton,"100,000","41,400","31,400"
2020,Tower Hamlets,"139,000","52,700","34,100"
2020,Waltham Forest,"133,000","37,100","28,900"
2020,Wandsworth,"168,000","75,300","39,000"
2020,Westminster,"100,000","123,000","42,100"
2020,,,,
2020,North East,"1,170,000","30,600","24,300"
2020,North West,"3,340,000","32,600","25,000"
2020,Yorkshire and The Humber,"2,460,000","31,500","24,500"
2020,East Midlands,"2,310,000","32,200","24,800"
2020,West Midlands,"2,610,000","32,200","24,700"
2020,East of England,"3,110,000","38,600","27,500"
2020,London,"4,180,000","54,200","31,500"
2020,South East,"4,670,000","42,000","28,600"
2020,South West,"2,790,000","33,700","25,500"
2020,,,,
2020,England,"26,600,000","38,200","26,600"
2020,Wales,"1,420,000","30,400","24,400"
2020,Scotland,"2,580,000","33,600","26,000"
2020,Northern Ireland,"783,000","31,100","24,800"
2020,,,,
2020,United Kingdom,"31,700,000","37,300","26,300"
